[2025-05-30 11:39:17] Alert: 97406955-0b43-48bd-a654-72e210012916 | Jupiter: 43.50 | Calc: -3.21 | Diff: 107.37%
[2025-05-30 11:39:17] Alert: 71297392-3496-4df1-8c3e-66b02dbdb698 | Jupiter: 43.50 | Calc: -22.22 | Diff: 151.08%
[2025-05-30 11:39:17] Alert: b0a5a64e-2b7c-486c-895d-500b8717657b | Jupiter: 43.50 | Calc: 78.64 | Diff: 80.79%
[2025-05-30 11:39:17] Alert: 4bc8b9d2-9764-4b39-972f-5996090e1a8b | Jupiter: 43.50 | Calc: 31.30 | Diff: 28.04%
[2025-05-30 11:39:17] Alert: ed145ebe-9a03-4f51-a0c3-448878296051 | Jupiter: 43.50 | Calc: -200.47 | Diff: 560.85%
[2025-05-30 11:39:17] Alert: 2c654ca3-5523-4634-a0ed-076189aae66e | Jupiter: 43.50 | Calc: -3.21 | Diff: 107.37%
[2025-05-30 11:39:17] Alert: 862a25f1-2b5d-4bd8-be90-47506b3798c0 | Jupiter: 43.50 | Calc: -22.22 | Diff: 151.08%
[2025-05-30 11:39:17] Alert: 3ccef054-6431-4a3d-84c4-23575fe07512 | Jupiter: 43.50 | Calc: 78.64 | Diff: 80.79%
[2025-05-30 11:39:17] Alert: 32a0dc3c-27a3-48d5-b2f5-4e00bcb649cb | Jupiter: 43.50 | Calc: 31.30 | Diff: 28.04%
[2025-05-30 11:39:17] Alert: c72e9e51-067c-4857-93d6-ef29801d80d5 | Jupiter: 43.50 | Calc: -200.47 | Diff: 560.85%
[2025-05-30 11:39:17] Alert: 97406955-0b43-48bd-a654-72e210012916 | Jupiter: 43.50 | Calc: -3.21 | Diff: 107.37%
[2025-05-30 11:39:17] Alert: 71297392-3496-4df1-8c3e-66b02dbdb698 | Jupiter: 43.50 | Calc: -22.22 | Diff: 151.08%
[2025-05-30 11:39:17] Alert: b0a5a64e-2b7c-486c-895d-500b8717657b | Jupiter: 43.50 | Calc: 78.64 | Diff: 80.79%
[2025-05-30 11:39:17] Alert: 4bc8b9d2-9764-4b39-972f-5996090e1a8b | Jupiter: 43.50 | Calc: 31.30 | Diff: 28.04%
[2025-05-30 11:39:17] Alert: ed145ebe-9a03-4f51-a0c3-448878296051 | Jupiter: 43.50 | Calc: -200.47 | Diff: 560.85%
[2025-05-30 11:39:17] Alert: 2c654ca3-5523-4634-a0ed-076189aae66e | Jupiter: 43.50 | Calc: -3.21 | Diff: 107.37%
[2025-05-30 11:39:17] Alert: 862a25f1-2b5d-4bd8-be90-47506b3798c0 | Jupiter: 43.50 | Calc: -22.22 | Diff: 151.08%
[2025-05-30 11:39:17] Alert: 3ccef054-6431-4a3d-84c4-23575fe07512 | Jupiter: 43.50 | Calc: 78.64 | Diff: 80.79%
[2025-05-30 11:39:17] Alert: 32a0dc3c-27a3-48d5-b2f5-4e00bcb649cb | Jupiter: 43.50 | Calc: 31.30 | Diff: 28.04%
[2025-05-30 11:39:17] Alert: c72e9e51-067c-4857-93d6-ef29801d80d5 | Jupiter: 43.50 | Calc: -200.47 | Diff: 560.85%
[2025-05-30 11:39:17] Alert: 97406955-0b43-48bd-a654-72e210012916 | Jupiter: 43.50 | Calc: -3.21 | Diff: 107.37%
[2025-05-30 11:39:17] Alert: 71297392-3496-4df1-8c3e-66b02dbdb698 | Jupiter: 43.50 | Calc: -22.22 | Diff: 151.08%
[2025-05-30 11:39:17] Alert: b0a5a64e-2b7c-486c-895d-500b8717657b | Jupiter: 43.50 | Calc: 78.64 | Diff: 80.79%
[2025-05-30 11:39:17] Alert: 4bc8b9d2-9764-4b39-972f-5996090e1a8b | Jupiter: 43.50 | Calc: 31.30 | Diff: 28.04%
[2025-05-30 11:39:17] Alert: ed145ebe-9a03-4f51-a0c3-448878296051 | Jupiter: 43.50 | Calc: -200.47 | Diff: 560.85%
[2025-05-30 11:39:17] Alert: 2c654ca3-5523-4634-a0ed-076189aae66e | Jupiter: 43.50 | Calc: -3.21 | Diff: 107.37%
[2025-05-30 11:39:17] Alert: 862a25f1-2b5d-4bd8-be90-47506b3798c0 | Jupiter: 43.50 | Calc: -22.22 | Diff: 151.08%
[2025-05-30 11:39:17] Alert: 3ccef054-6431-4a3d-84c4-23575fe07512 | Jupiter: 43.50 | Calc: 78.64 | Diff: 80.79%
[2025-05-30 11:39:17] Alert: 32a0dc3c-27a3-48d5-b2f5-4e00bcb649cb | Jupiter: 43.50 | Calc: 31.30 | Diff: 28.04%
[2025-05-30 11:39:17] Alert: c72e9e51-067c-4857-93d6-ef29801d80d5 | Jupiter: 43.50 | Calc: -200.47 | Diff: 560.85%
[2025-05-30 11:43:12] Alert: alert123 | Jupiter: 43.50 | Calc: -25.00 | Diff: 157.47%
